mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-1229171,Ag6S2IBr,10,Ag6 S2 I1 Br1,6.991657120384837,6.938157942958996,6.938157942958996,88.65083700283124,61.02083302570141,118.9791669742986,ortho,Fmm2,0.0005909999999990001,-3.13384903,-0.28451096549999805,0.081145324999997,False,6.288392755380496,0.5861000000000001,False,242.44988095539424,,
mp-556434,AgBi(PS3)2,20,Ag1 Bi1 P2 S6,6.4432323606361575,7.309027292053072,9.78534094595244,93.68614277581975,90.38026852442232,95.97870263874294,tri,P-1,0.0,-14.945477898499998,-0.33882521078273803,0.0,True,4.147865928609672,1.183799999999999,False,457.3324642244417,,
mp-569126,AgBi(PSe3)2,20,Ag1 Bi1 P2 Se6,14.861635384210784,14.861635384210784,14.861635414442718,26.272249504813608,26.272249504813608,26.27225132808178,trig,R-3,0.0024487,-4.319819855,-0.46588106450148803,0.0,True,4.996191648875751,1.2778,False,566.7127483749094,,
mp-1202255,AgSb(SeF3)2,60,Ag1 Sb1 Se2 F6,12.546018092082043,12.546018092082043,10.956270260704096,64.30321281774852,64.30321281774852,52.57067804559551,mono,C2/c,0.0004986999999990001,-4.461464292333333,-1.9167766799687491,0.0012389131868010001,False,4.168745465308232,1.175,True,1198.6692075890164,,
mp-560633,Al2SnCl6O,40,Al2 Sn1 Cl6 O1,12.628570999999999,9.578244,12.827340097669703,48.614207613134475,90.0,90.0,mono,P2_1/c,0.0015152,-4.83523140625,-2.08123727425,0.0,True,2.290229179433097,3.9866,False,1164.1185508199699,,
mp-1228964,AlAg(PSe3)2,10,Al1 Ag1 P2 Se6,6.430891208097677,6.430891208097677,7.386181986223803,81.97940215862121,81.97940215862121,120.03574888913087,mono,C2,0.0063774,-4.426495843,-0.5870029005014871,0.0,True,4.385035805906184,1.6205999999999992,False,253.9287203629912,,
mp-1228984,AlCu(PSe3)2,10,Al1 Cu1 P2 Se6,7.815990734674267,7.815990734674267,7.815990976621774,47.42105786769926,47.42105786769926,47.42105445321064,trig,R3,0.00024009999999900002,-4.523998834999999,-0.55887899333482,0.0,True,4.390067296366625,0.8799,True,236.87285777660955,,
mp-559940,AlS2NCl6,40,Al1 S2 N1 Cl6,13.796914,6.4115,13.38840003130964,84.50596428908341,90.0,90.0,mono,P2_1/m,9.17e-05,-7.650778558166673,-0.7664228741041721,0.012673947333340001,False,1.790778570946899,1.7401,False,1178.8827486302293,,
mp-707231,As2PHO6,40,As2 P1 H1 O6,11.222917,4.946627,11.85549504382744,72.224896082179,90.0,90.0,mono,P2_1/c,0.00022349999999900002,-6.664020269,-1.880155163089285,0.044146491749999,False,2.944309824854959,4.2409,False,626.7453535089875,,
mp-1182477,AsN(OF3)2,10,As1 N1 O2 F6,5.264346861301695,5.264346861301695,5.329055185986067,85.78841530157547,85.78841530157547,91.75762744512807,mono,C2/m,0.0003769,-5.328754723,-1.890011069249999,0.0,True,2.657416696194527,2.7441999999999993,False,146.79283027722812,,
mp-1183269,AsN(OF3)2,10,As1 N1 O2 F6,4.862623316153741,4.862623316153741,5.719823354203258,85.11624876229905,85.11624876229905,98.3585045093797,mono,C2/m,0.0050087,-5.317491214999999,-1.87874756125,0.011263508,False,2.940310103539661,2.7607,False,132.66958392951483,,
mp-611316,AsN(OF3)2,10,As1 N1 O2 F6,4.920676781659713,4.920676781659713,6.141277267580499,85.50958825130802,85.50958825130802,97.27125969490528,mono,C2/m,0.002949599999999,-5.294180137,-1.8554364832499992,0.034574586000000004,False,2.663374548298367,2.6593,False,146.46446115120543,,
mp-557628,AsS(IF3)2,40,As1 S1 I2 F6,7.96991311596189,7.96991311596189,13.520518686777718,86.06344241617397,86.06344241617397,106.2026361217871,mono,C2/c,0.0,-4.124717910250003,-1.790851937750002,0.0,True,3.849159839765954,1.1714,False,819.2963309860281,,
mp-8500,AsS2NF6,10,As1 S2 N1 F6,5.868680100242728,5.868680100242728,5.45920759450536,88.0034748826001,88.0034748826001,70.19728215920243,mono,C2/m,6.77e-05,-4.982985439,-1.70635444375,0.10843445188988,False,2.508973246392811,2.608,False,176.74354700857842,,
mp-1206237,Ba2AgIO6,10,Ba2 Ag1 I1 O6,6.059931984826397,6.059931984826397,6.059931984826397,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,0.0002517,-5.665915748,-1.8766491276666661,0.0033044253124980003,False,6.3888076361701,0.12660000000000002,False,157.35779143893134,,
mp-1078727,Ba2BiIrO6,10,Ba2 Bi1 Ir1 O6,6.043679,6.057480049717786,6.0586946253120395,60.54117024147124,60.72345120348049,60.22138201374546,tri,P-1,2.0001193,-6.752426851,-2.127008411,0.01121123744445,False,8.081747715783711,0.0,False,158.5898830850815,,
mp-1095109,Ba2BiIrO6,10,Ba2 Bi1 Ir1 O6,6.078304033215186,6.078304033215186,6.078304033215186,60.00000000000001,60.00000000000001,60.00000000000001,cubic,Fm-3m,2.0000598,-6.746425553,-2.121007113,0.017212535444450002,False,8.071393255747642,0.0,False,158.79333155481876,,
mp-561147,Ba2BiRuO6,40,Ba2 Bi1 Ru1 O6,6.134749700470754,6.134749700470754,20.600019,90.0,90.0,119.99999676976299,hex_,P6_3/mmc,11.5636593,-6.860980039499999,-2.191964763499999,0.020283187375008,False,6.734004261215104,0.0,False,671.4164275636576,,
mp-1182508,Ba2BiSbO6,10,Ba2 Bi1 Sb1 O6,8.482748707406639,6.199580834641806,6.466675826542258,100.79356756557753,123.20877295683454,62.780259379386145,tri,P-1,0.0004676,-5.654959083,-1.500483936999999,0.9525232360000051,False,4.619724443918717,0.0,False,252.1117522251766,,
mp-1407554,Ba2BiSbO6,10,Ba2 Bi1 Sb1 O6,5.651973,5.698685210931114,7.478592759148543,111.07578592082295,92.17620355916053,111.94988815054714,tri,P-1,0.0024185,-4.70550104,-0.551025894,1.901981279000005,False,5.701061186215728,0.0,False,204.29298797386306,,
mp-1521651,Ba2BiSbO6,40,Ba2 Bi1 Sb1 O6,8.66803589,8.66803589,8.66803589,90.0,90.0,90.0,cubic,Pn-3,5.1e-05,-6.59926074675,-2.444785600749999,0.008221572250005001,False,7.153310082192899,1.7227999999999999,False,651.2715433673939,,
mp-23091,Ba2BiSbO6,10,Ba2 Bi1 Sb1 O6,6.103001957349269,6.103001957349269,6.103002719112044,60.47829474745227,60.47829474745227,60.47829640290698,trig,R-3,1.0800000000000002e-05,-6.607341224000001,-2.452866078000001,0.00014109500000400002,False,7.168423239519623,1.774599999999999,False,162.4746175606501,,
mp-23127,Ba2BiSbO6,10,Ba2 Bi1 Sb1 O6,6.10849442049381,6.10849442049381,6.1565815491265115,60.01430177620467,60.01430177620467,60.00222658907475,mono,C2/m,0.0001857,-6.607482318999999,-2.453007172999998,0.0,True,7.168280676948144,1.6958000000000002,False,162.47784885143284,,
mp-545603,Ba2BiSbO6,10,Ba2 Bi1 Sb1 O6,6.132543365972882,6.132543365972882,6.132543365972882,60.00000000000001,60.00000000000001,60.00000000000001,cubic,Fm-3m,3.9e-06,-6.598717748,-2.444242602,0.008764571000004,False,7.141711074774705,1.643899999999999,False,163.082321891686,,
mp-643903,Ba2BiSbO6,10,Ba2 Bi1 Sb1 O6,9.201304860417626,5.698685488882326,5.651973009212358,111.94989086684176,125.68964127817432,58.54136982139302,tri,P-1,0.0002936,-5.145418606,-0.9909434599999991,1.462063713000005,False,5.701061187244958,0.31969999999999904,False,204.2929879369814,,
mp-988230,Ba2BiSbO6,10,Ba2 Bi1 Sb1 O6,5.651973,5.698685210931114,7.478592759148543,111.07578592082295,92.17620355916053,111.94988815054714,tri,P-1,0.0117465,-4.453890156,-0.29941500999999904,2.153592163000005,False,5.701061186215728,0.0,False,204.29298797386306,,
mp-1520718,Ba2BiWO6,10,Ba2 Bi1 W1 O6,6.13773352974679,6.13773352974679,6.13773352974679,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,1.0,-7.454698446,-2.417310401,0.152098179249988,False,7.754118578577006,0.0,False,163.4967374771576,,
mp-1520885,Ba2BiWO6,40,Ba2 Bi1 W1 O6,8.67165848,8.67165848,8.67165848,90.0,90.0,90.0,cubic,Pn-3,4.0000002,-7.528149578,-2.490761532999999,0.078647047249988,False,7.776694237457859,1.960399999999999,False,652.0884328983368,,
mp-1214698,Ba2CaBiO6,10,Ba2 Ca1 Bi1 O6,6.2038536706419825,6.2038536706419825,6.2038536706419825,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,1.0017748,-6.384652957,-2.442517947,0.027547720499995,False,6.09490753936949,0.0,False,168.83778230740148,,
mp-1520172,Ba2CaCrO6,10,Ba2 Ca1 Cr1 O6,5.874467747331831,5.874467747331831,5.874467747331831,60.00000000000001,60.00000000000001,60.00000000000001,cubic,Fm-3m,0.0,-7.12386944,-2.605433114,0.102572517999997,False,5.360200302493706,0.6019999999999991,False,143.3476485879613,,
mp-20841,Ba2CaIrO6,10,Ba2 Ca1 Ir1 O6,5.98699109191988,5.98699109191988,5.98699109191988,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,2.9790335,-6.974334923000001,-2.537359926,0.0,True,6.598059773468753,0.0,False,151.74375893845558,"{'voigt': 108.746, 'reuss': 108.746, 'vrh': 108.746}","{'voigt': 58.894, 'reuss': 56.066, 'vrh': 57.48}"
mp-19403,Ba2CaMoO6,10,Ba2 Ca1 Mo1 O6,6.010857359998489,6.010857359998489,6.010857359998489,60.00000000000001,60.00000000000001,60.00000000000001,cubic,Fm-3m,0.0,-7.539842310999999,-2.9021457209999992,0.0,True,5.478714226488384,2.258,False,153.56571582872633,,
mp-1214679,Ba2CaNbO6,10,Ba2 Ca1 Nb1 O6,6.0948673024577,6.0948673024577,6.0948673024577,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,0.9999739,-7.651080661,-3.087818578,0.045699657000000005,False,5.223806067518879,0.0,False,160.09499906372125,,
mp-6739,Ba2CaOsO6,10,Ba2 Ca1 Os1 O6,5.9757325377498285,5.9757325377498285,5.9757325377498285,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,2.0004098,-7.3572812800000005,-2.6814129579999992,0.0,True,6.613556256286688,0.0,False,150.88930401897395,"{'voigt': 111.985, 'reuss': 135.878, 'vrh': 123.932}","{'voigt': 28.671, 'reuss': -0.0, 'vrh': 14.336}"
mp-12417,Ba2CaReO6,10,Ba2 Ca1 Re1 O6,5.9497830842302415,5.9497830842302415,5.9497830842302415,120.09895789834793,120.09895789834793,89.82868517931067,tet,I4/m,1.0026089,-7.713658638000001,-2.915715638250001,0.0,True,6.665614866962983,0.0,False,148.70864454671502,,
mp-6635,Ba2CaReO6,10,Ba2 Ca1 Re1 O6,5.991369497108988,5.991369497108988,5.991369497108988,60.00000000000001,60.00000000000001,60.00000000000001,cubic,Fm-3m,0.9863074,-7.713477629000001,-2.915534629249999,0.00018100900000000001,False,6.517981414415694,0.0,False,152.0769221195082,,
mp-1520564,Ba2CaSeO6,10,Ba2 Ca1 Se1 O6,5.87778868847181,5.87778868847181,5.87778868847181,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,0.0,-6.452516751,-2.549794024234375,0.0,True,5.6629405886883,2.01,True,143.5908969776417,,
mp-550685,Ba2CaTeO6,10,Ba2 Ca1 Te1 O6,6.016521285315793,6.016521285315793,6.016521285315793,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,8.42e-05,-6.6543824659999995,-2.786920297666666,0.0,True,5.804636318956966,2.9976000000000003,True,154.00023183896883,,
mp-557448,Ba2CaUO6,20,Ba2 Ca1 U1 O6,6.191401,6.227731,10.720074101989454,54.65312030907372,90.0,90.0,mono,P2_1/c,0.000140999999999,-8.232708689999999,-3.550436109999999,0.0,True,6.39047624557279,2.1948,False,337.1538572711704,,
mp-1520571,Ba2CaWO6,40,Ba2 Ca1 W1 O6,8.53002798,8.53002798,8.53002798,90.0,90.0,90.0,cubic,Pn-3,0.0,-7.8766884485,-3.0277438465,0.004992724499999,False,6.3629651598711785,3.191,True,620.6565845699799,,
mp-18977,Ba2CaWO6,10,Ba2 Ca1 W1 O6,6.027146271809902,6.027146271809902,6.027146271809902,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,0.0,-7.878640952,-3.02969635,0.0030402209999990004,False,6.377210092501664,3.183,False,154.81755213407968,,
mp-19098,Ba2CaWO6,10,Ba2 Ca1 W1 O6,6.046637226098983,6.027407403730396,6.027407596174412,59.909270992083194,59.82072980707997,59.82073993172755,mono,C2/m,1.5000000000000002e-05,-7.8816811730000005,-3.032736570999999,0.0,True,6.377787410591273,3.2912,False,154.80353803049138,,
mp-19182,Ba2CaWO6,10,Ba2 Ca1 W1 O6,6.030353846196589,6.030353846196589,6.030353846196589,120.06888471731281,120.06888471731281,89.88072952119425,tet,I4/m,1.3500000000000001e-05,-7.879153675,-3.030209073,0.0025274979999990003,False,6.373690480453075,3.1866,False,154.90304384778858,,
mp-1207118,Ba2CdMoO6,10,Ba2 Cd1 Mo1 O6,5.992621076111687,5.992621076111687,5.992621076111687,60.00000000000001,60.00000000000001,60.00000000000001,cubic,Fm-3m,2.36e-05,-7.002457366,-2.469319745,0.0,True,6.318198368159635,2.5376000000000003,False,152.17224725980637,,
mp-1206134,Ba2CdOsO6,10,Ba2 Cd1 Os1 O6,5.971984871809539,5.971984871809539,5.971984871809539,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,1.9999981,-6.794456515,-2.223147162,0.0,True,7.423540219656888,0.0,False,150.60559245646297,,
mp-551702,Ba2CdReO6,10,Ba2 Cd1 Re1 O6,5.980088315521937,5.980088315521937,5.980088315521937,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,1.0000722,-7.155683863,-2.46229983225,0.0006177507857090001,False,7.349226321673464,0.0,False,151.21949925033945,,
mp-1228427,Ba2CeBiO6,20,Ba2 Ce1 Bi1 O6,6.276630005678924,6.261836,8.840380009834927,90.0,90.00513992811169,90.0,mono,P2_1/c,0.24054289999999903,-7.229984915,-2.894714906,0.017473926333333,False,6.879544527737553,0.0,False,347.4554673326278,,
mp-1519226,Ba2CeBiO6,40,Ba2 Ce1 Bi1 O6,8.8814327,8.8814327,8.8814327,90.0,90.0,90.0,cubic,Pn-3,0.538024,-7.22187966975,-2.886609660749999,0.025579171583333,False,6.824011401219812,0.0,False,700.566050781625,,
mp-1519364,Ba2CeBiO6,10,Ba2 Ce1 Bi1 O6,6.295974594571879,6.295974594571879,6.295974594571879,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,0.2077213,-7.199327429,-2.86405742,0.048131412333333005,False,6.77259237450257,0.0,False,176.47122599019832,,
mp-1519270,Ba2CeCrO6,10,Ba2 Ce1 Cr1 O6,5.962824501449167,5.962824501449167,5.962824501449167,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,1.999999799999999,-7.940185837,-3.028614512,0.07645442831251001,False,6.233517220473483,0.0,False,149.9136175317249,,
mp-1518368,Ba2CeHfO6,10,Ba2 Ce1 Hf1 O6,6.135689581027228,6.135689581027228,6.135689581027228,60.00000000000001,60.00000000000001,60.00000000000001,cubic,Fm-3m,0.0,-8.607437084,-3.6654516029999993,0.022824099000002002,False,7.007365395148178,2.2198,False,163.33345195564382,,
mp-1518549,Ba2CeHfO6,40,Ba2 Ce1 Hf1 O6,8.66002558,8.66002558,8.66002558,90.0,90.0,90.0,cubic,Pn-3,0.0,-8.609238071250001,-3.66725259025,0.021023111750002002,False,7.049078900393297,2.1719,False,649.4676511793435,,
mp-1079632,Ba2CeNbO6,10,Ba2 Ce1 Nb1 O6,6.103442670656046,6.103442670656046,6.164496302656528,59.911629733303464,59.911629733303464,60.03301319249952,mono,C2/m,0.9999998,-8.331966038000001,-3.375568956,0.008726700999993,False,6.180047217996893,0.0,False,162.20300578187766,,
mp-1228422,Ba2CeNbO6,10,Ba2 Ce1 Nb1 O6,6.128507200465869,6.128507200465869,6.128507200465869,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,0.9318253,-8.322647785000001,-3.366250702999999,0.018044953999995002,False,6.158877795373797,0.0,False,162.7605333208576,,
mp-1522928,Ba2CeNbO6,40,Ba2 Ce1 Nb1 O6,8.66538891,8.66538891,8.66538891,90.0,90.0,90.0,cubic,Pn-3,4.0003418,-8.32508335875,-3.368686276749999,0.015609380249994002,False,6.162352048884866,0.0,False,650.6750842412026,,
mp-1205643,Ba2CePaO6,10,Ba2 Ce1 Pa1 O6,6.394235100408649,6.394235100408649,6.394235100408649,59.99999999999999,59.99999999999999,59.99999999999999,cubic,Fm-3m,1.0000294,-8.541068808,-3.640372512,0.0,True,6.663255379752162,0.016199999999999,False,184.86334313045163,,
